,K,batch_size,beta,epochs,scheduler_type,step_size,gamma,best_train_accuracy,best_eval_accuracy,best_train_loss,best_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_25__20_24_05,50,1000,20,20,step_beta,3,6,0.541,0.51,0.8541113138198853,0.862622082233429,0.008349070585043247,0.006726791219136931,14.907791721820832,successful
splm_optimizer__hinge_loss__2021_06_25__20_44_36,50,1000,20,20,step_beta,4,10,0.5769000000000001,0.538,0.8410159945487976,0.8522974252700806,0.012280539242531962,0.010011059749629589,15.275302481651305,successful
splm_optimizer__hinge_loss__2021_06_25__20_50_12,50,1000,20,20,step_beta,4,1,0.6188,0.5715,0.23308777809143066,0.2854269742965698,0.24054762143012928,0.2315534994419767,15.29434802532196,successful
splm_optimizer__hinge_loss__2021_06_25__20_55_48,50,1000,20,20,step_beta,4,2,0.6173,0.5720000000000001,0.7614466547966003,0.788998544216156,0.0382759973134177,0.03059709997154655,15.381393480300904,successful
splm_optimizer__hinge_loss__2021_06_25__21_01_26,50,1000,20,20,step_beta,4,3,0.6088000000000001,0.5660000000000001,0.8116256594657898,0.8290887475013733,0.021723451270024684,0.0175547656313104,15.250089132785797,successful
splm_optimizer__hinge_loss__2021_06_25__21_07_01,50,1000,20,20,step_beta,4,4,0.5983999999999999,0.5565,0.8251152038574219,0.8397769927978516,0.017308239847581067,0.014036076965008562,15.277644884586334,successful
splm_optimizer__hinge_loss__2021_06_25__21_12_36,50,1000,20,20,step_beta,4,5,0.5911,0.5475,0.8313447833061218,0.844692051410675,0.01530232477017624,0.012431878565487702,15.19850172996521,successful
splm_optimizer__hinge_loss__2021_06_25__21_18_11,50,1000,20,20,step_beta,4,6,0.5859,0.543,0.8349277973175049,0.8475142121315002,0.014166231538497684,0.011521713757678345,15.31331957578659,successful
splm_optimizer__hinge_loss__2021_06_25__21_23_47,50,1000,20,20,step_beta,4,7,0.5828,0.5415000000000001,0.8372581601142883,0.849341630935669,0.013437272140181157,0.010938732840690194,15.234762966632843,successful
splm_optimizer__hinge_loss__2021_06_25__21_29_22,50,1000,20,20,step_beta,4,8,0.5811999999999999,0.539,0.8388940095901489,0.8506213426589966,0.012931748107462752,0.010534359816922982,15.155952095985413,successful
splm_optimizer__hinge_loss__2021_06_25__21_34_55,50,1000,20,20,step_beta,4,9,0.5797,0.5385,0.8400961756706238,0.851568877696991,0.012562145365002586,0.010237622963851603,15.177919006347656,successful
splm_optimizer__hinge_loss__2021_06_25__21_40_29,50,1000,20,20,step_beta,5,10,0.605,0.5595,0.8205039501190186,0.836226761341095,0.01906258145131883,0.015504965742414733,15.371770882606507,successful
